generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,dominated_pareto_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
41,global_gen_41.pkl,298,73,225,53016.628413915634,461243.11098074913,0.7426999807357788,0.9187999963760376,0.9040314914429024,0.9101999998092651,0.021736170163277883,62986.0,1293142.0,477165.87671232875,518230.0,236677.83572863962,73,4,0.0,0.13850991701896143,0.012641536802430376,0.0017211627202865709,0.029304284018316102
42,global_gen_42.pkl,304,73,231,53016.628413915634,461243.11098074913,0.7426999807357788,0.9187999963760376,0.9039794369919659,0.9101999998092651,0.02171043044790845,62986.0,1293142.0,477166.5342465753,518230.0,236678.0831810421,73,4,0.0,0.1623789746496289,0.014899928350366961,0.001990239839806916,0.034337005629202465
43,global_gen_43.pkl,310,73,237,53216.369913607836,461243.11098074913,0.7426999807357788,0.9187999963760376,0.9039301219051832,0.9101999998092651,0.021694429428887902,62986.0,1293142.0,467566.31506849313,518209.0,231514.54334686554,73,4,0.0,0.15796825548521787,0.01466665995047367,0.0017211627202865709,0.03397254278310918
44,global_gen_44.pkl,316,74,242,53216.369913607836,461243.11098074913,0.7426999807357788,0.9187999963760376,0.9041499849912282,0.9101999998092651,0.021477036468049868,62986.0,1293142.0,468871.75675675675,518219.5,230197.43764577343,74,4,0.0,0.3888015003512173,0.019734170400551528,0.0017275841202296868,0.05606490322056371
45,global_gen_45.pkl,322,76,246,53216.369913607836,461243.11098074913,0.7426999807357788,0.9187999963760376,0.9044197217414254,0.9101999998092651,0.021253015856001266,62986.0,1293142.0,471379.5789473684,518230.0,227625.94913177265,76,4,0.0,0.3888015003512173,0.01918599900053621,0.0017275841202296868,0.05536329899334347
46,global_gen_46.pkl,331,78,253,110885.84960111976,1135187.9623138905,0.6895999908447266,0.9228000044822693,0.9018333187470069,0.9101999998092651,0.032185072103850035,62986.0,1293142.0,472602.26923076925,518219.5,248895.99392171265,78,2,0.0,0.4772496614555103,0.02470490671385318,0.0015246121769980688,0.07149324483134531
47,global_gen_47.pkl,338,80,258,110885.84960111976,1135187.9623138905,0.7044999599456787,0.9228000044822693,0.9023499846458435,0.9101999998092651,0.030562447464854422,62986.0,1293142.0,479076.275,518230.0,243861.1639122917,80,3,0.0,0.4707812851644425,0.024671910669137948,0.0022436122636932294,0.07096702104816552
48,global_gen_48.pkl,348,84,264,110905.50428044796,1135187.9623138905,0.7044999599456787,0.9228000044822693,0.8991654607511702,0.9101999998092651,0.037877100299111316,62986.0,1293142.0,490581.95238095237,518230.0,254096.57319448137,84,3,0.0,0.31810796660445956,0.02356665237405149,0.002528012128815276,0.057905835013876715
49,global_gen_49.pkl,356,85,271,112303.96781891584,1176654.9033153057,0.7426999807357788,0.9228000044822693,0.9011258672265445,0.9101999998092651,0.03170837181275109,18050.0,1293142.0,499965.82352941175,518230.0,268272.2327801324,85,3,0.0,0.2900776979732217,0.01931198405248894,0.002296857614182519,0.045949895585596305
50,global_gen_50.pkl,363,87,276,111976.31104767323,1177802.4485402107,0.7426999807357788,0.9236999750137329,0.9013769955470644,0.9101999998092651,0.0313978780077384,18050.0,1342949.0,510103.7011494253,518230.0,280130.37369182875,87,4,0.0,0.2883830562661857,0.01857875073967235,0.002486106519101807,0.044782324765150545
51,global_gen_51.pkl,368,89,279,111976.31104767323,1177802.4485402107,0.7426999807357788,0.9236999750137329,0.9009381860829471,0.9101999998092651,0.03166895167324922,18050.0,1342949.0,505191.7303370786,518230.0,281870.02334319736,89,4,0.0,0.2883830562661857,0.019436337011012137,0.002486106519101807,0.04539476514780952
52,global_gen_52.pkl,372,91,281,111976.76374787092,1179975.6370323896,0.7426999807357788,0.9253999590873718,0.9017175665268531,0.9101999998092651,0.03096242482251937,18050.0,1342949.0,515001.53846153844,518230.0,289934.7692991691,91,4,0.0,0.2857689783258711,0.017735489605375097,0.002226290400303495,0.04365868791079986
53,global_gen_53.pkl,380,94,286,112850.48538863659,1179975.6370323896,0.7426999807357788,0.9253999590873718,0.9024031751967491,0.9102999866008759,0.030677562101712765,18050.0,1342949.0,532152.2978723404,518246.5,306666.58314867364,94,4,0.0,0.2857689783258711,0.017196025029369615,0.0021314792025388368,0.04318619031292927
54,global_gen_54.pkl,387,96,291,111976.76374787092,1179975.6370323896,0.7426999807357788,0.9253999590873718,0.9023999832570553,0.9102999866008759,0.030401617330217165,18050.0,1342949.0,526112.5208333334,518233.0,306961.6416942704,96,4,0.0,0.2857689783258711,0.017346081646230242,0.00282129759732112,0.041930492567529856
55,global_gen_55.pkl,395,96,299,111976.76374787092,1179975.6370323896,0.7426999807357788,0.9253999590873718,0.9026291500777006,0.9102999866008759,0.030380527040802685,18050.0,1342949.0,525600.84375,518233.0,306853.8409994442,96,4,0.0,0.2857689783258711,0.017141796180926358,0.002028630501052832,0.04265891275783834
56,global_gen_56.pkl,402,96,306,111976.76374787092,1179975.6370323896,0.7426999807357788,0.9253999590873718,0.9021281078457832,0.9102999866008759,0.030932626262704637,18050.0,1342949.0,525071.2083333334,518233.0,307693.1533181758,96,4,0.0,0.2857689783258711,0.01832860177108855,0.002242940951455959,0.04368329713974187
57,global_gen_57.pkl,408,98,310,112103.27129977942,1180405.0226134062,0.6227999925613403,0.9253999590873718,0.8989714116466289,0.9101999998092651,0.04178183387363698,17586.0,1342949.0,515386.612244898,518230.0,311889.0983459078,98,4,0.0,0.23564606894570464,0.01705773144498754,0.0018007769463767613,0.04127727617542431
58,global_gen_58.pkl,414,99,315,111592.04173564911,1180443.7519823313,0.6227999925613403,0.9254999756813049,0.8980413976341787,0.9101999998092651,0.04481763838150945,17586.0,1342949.0,524582.8787878788,518230.0,318119.7340220032,99,4,0.0,0.20599133308642098,0.015168752570280946,0.0017979966198243083,0.037048824293950705
59,global_gen_59.pkl,419,99,320,111592.04173564911,1180443.7519823313,0.6575999855995178,0.9254999756813049,0.9002040233274903,0.9101999998092651,0.038992160067181765,17586.0,1342949.0,528509.7777777778,518236.0,315840.4958281805,99,4,0.0,0.19646467485838362,0.01502125070281368,0.0016881887057812847,0.03746664694895542
60,global_gen_60.pkl,424,98,326,185117.48072075844,2101429.0979961157,0.7426999807357788,0.9264000058174133,0.9024203918418106,0.9102999866008759,0.030481260448316276,17586.0,2285968.0,538777.2040816327,518233.0,355324.4242544435,98,3,0.0,0.26183270466295905,0.015101167644019609,0.001925109710425424,0.04009973835194828
