generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
35,global_gen_35.pkl,274,42,232,141242.1575294137,0.885699987411499,0.9301999807357788,0.9042833206199464,0.911300003528595,0.014064940576260981,515302.0,1725576.0,629624.8571428572,518230.0,319247.4307578548,42,2,0.0,0.49726419559867874,0.04918539190394677,0.0,0.11265818635332923
36,global_gen_36.pkl,280,43,237,141242.1575294137,0.885699987411499,0.9301999807357788,0.9052209174910257,0.911300003528595,0.014154501313039955,515302.0,1725576.0,644969.5348837209,518230.0,331084.72869668796,43,2,0.0,0.49726419559867874,0.04798574819897245,0.0,0.11100920087850621
37,global_gen_37.pkl,286,43,243,141242.1575294137,0.885699987411499,0.9301999807357788,0.9055488248204075,0.911300003528595,0.014127558846494923,515302.0,1725576.0,645037.6279069767,518230.0,331057.7254700184,43,2,0.0,0.49726419559867874,0.04798574819897245,0.0,0.11307147290075226
38,global_gen_38.pkl,292,46,246,141242.1575294137,0.885699987411499,0.9301999807357788,0.9062304224656976,0.911300003528595,0.01414447860436186,515302.0,1725576.0,663014.2608695652,518230.0,358640.17327643686,46,2,0.0,0.5129951361735087,0.04545454545454545,0.0,0.11016352013621974
39,global_gen_39.pkl,297,45,252,141242.1575294137,0.885699987411499,0.9301999807357788,0.9061177651087443,0.911300003528595,0.014283422206402566,515302.0,1725576.0,666231.6888888889,518230.0,362020.73364203767,45,2,0.0,0.5129951361735087,0.046511627906976744,0.0,0.11124125277047511
40,global_gen_40.pkl,303,46,257,141242.1575294137,0.885699987411499,0.9301999807357788,0.9066825962584951,0.911300003528595,0.014481736084297083,515302.0,1725576.0,679779.8260869565,518230.0,369580.91218335426,46,2,0.0,0.49726419559867874,0.045454545454545456,0.0,0.10954099581390699
41,global_gen_41.pkl,308,47,261,141242.1575294137,0.885699987411499,0.9301999807357788,0.9071829661409906,0.911300003528595,0.014728507246323616,515302.0,1725576.0,702030.8085106383,518230.0,396094.299387902,47,2,0.0,0.49726419559867874,0.044444444444444446,0.0,0.10850084644286555
42,global_gen_42.pkl,315,46,269,141242.1575294137,0.885699987411499,0.9301999807357788,0.9067456398321234,0.911300003528595,0.014579467133157182,515302.0,1725576.0,689260.8695652174,518230.0,390566.87251626723,46,2,0.0,0.49726419559867874,0.045454545454545456,0.0,0.10954099581390699
43,global_gen_43.pkl,323,47,276,140870.8702159524,0.885699987411499,0.9301999807357788,0.9072212640275347,0.911300003528595,0.014784188757661625,515302.0,1725576.0,702342.2978723404,518230.0,396571.75646302674,47,2,0.0,0.49726419559867874,0.044444444444444446,0.0,0.10802470377801557
44,global_gen_44.pkl,330,47,283,110368.88905531168,0.885699987411499,0.9354999661445618,0.907736156849151,0.911300003528595,0.015340279036838766,515302.0,1725576.0,718813.4893617021,518230.0,404750.9323652216,47,3,0.0,0.4782511581389972,0.0428983256262692,0.0,0.10464618454939273
45,global_gen_45.pkl,337,48,289,110368.88905531168,0.885699987411499,0.9354999661445618,0.9081624858081341,0.911300003528595,0.01551412108302354,515302.0,1725576.0,721676.7083333334,518230.0,390757.7481553021,48,3,0.0,0.4782511581389972,0.043154415524972234,0.0,0.10593093627598721
46,global_gen_46.pkl,341,48,293,110368.88905531168,0.885699987411499,0.9354999661445618,0.9082958189149698,0.911300003528595,0.015723975292264353,515302.0,1725576.0,721432.7083333334,518230.0,390389.8200478843,48,3,0.0,0.4782511581389972,0.03928487854409022,0.0,0.10315540801914565
47,global_gen_47.pkl,346,48,298,110368.88905531168,0.885699987411499,0.9354999661445618,0.9084979022542635,0.911300003528595,0.015996429046681693,515302.0,1725576.0,712407.7083333334,518230.0,371218.83226600237,48,3,0.0,0.4782511581389972,0.03863784471425078,0.0,0.10090827292431814
48,global_gen_48.pkl,351,48,303,110368.88905531168,0.885699987411499,0.9354999661445618,0.9084979022542635,0.911300003528595,0.015996429046681693,515302.0,1725576.0,712407.7083333334,518230.0,371218.83226600237,48,3,0.0,0.4782511581389972,0.03863784471425078,0.0,0.10090827292431814
49,global_gen_49.pkl,357,49,308,110368.88905531168,0.885699987411499,0.9354999661445618,0.9085550879945561,0.911300003528595,0.01583398337493824,515302.0,1725576.0,708444.8979591837,518230.0,368377.5322313286,49,3,0.0,0.4782511581389972,0.03779789156828881,0.0,0.09994326490853181
50,global_gen_50.pkl,363,49,314,110368.88905531168,0.885699987411499,0.9354999661445618,0.9085550879945561,0.911300003528595,0.01583398337493824,515302.0,1725576.0,708444.8979591837,518230.0,368377.5322313286,49,3,0.0,0.4782511581389972,0.03779789156828881,0.0,0.09994326490853181
51,global_gen_51.pkl,369,51,318,110368.88905531168,0.885699987411499,0.9354999661445618,0.9091372408118903,0.911300003528595,0.01596909417570315,515302.0,1725576.0,716164.8235294118,518230.0,371155.333510955,51,3,0.0,0.4782511581389972,0.03622297941961011,0.0,0.0980911249724252
52,global_gen_52.pkl,374,52,322,110368.88905531168,0.885699987411499,0.9354999661445618,0.9088480633038741,0.911300003528595,0.015802028992747286,515302.0,4824480.0,780227.1538461539,518230.0,675350.1219813983,52,3,0.0,0.4107751609662832,0.03136637274269815,0.0,0.07735925034456549
53,global_gen_53.pkl,381,52,329,110368.88905531168,0.885699987411499,0.9354999661445618,0.909584601338093,0.911300003528595,0.016137489551082733,515302.0,4824480.0,795170.8846153846,518230.0,677965.321993414,52,3,0.0,0.4107751609662832,0.03136637274269815,0.0,0.07930165170566002
54,global_gen_54.pkl,388,52,336,110368.88905531168,0.885699987411499,0.9354999661445618,0.909584601338093,0.911300003528595,0.016137489551082733,515302.0,4824480.0,795170.8846153846,518230.0,677965.321993414,52,3,0.0,0.4107751609662832,0.03136637274269815,0.0,0.07930165170566002
55,global_gen_55.pkl,396,54,342,110368.88905531168,0.885699987411499,0.9354999661445618,0.910025911198722,0.911300003528595,0.016221801139651916,515302.0,4824480.0,799195.6296296297,518230.0,669640.1549232214,54,3,0.0,0.4107751609662832,0.030136318909651162,0.0,0.0779423669463309
56,global_gen_56.pkl,403,57,346,110368.88905531168,0.885699987411499,0.9354999661445618,0.9100263014174345,0.911300003528595,0.01578675366134169,515302.0,4824480.0,784356.5964912281,518230.0,654545.622182067,57,3,0.0,0.4107751609662832,0.0284620789702261,0.0,0.07602430782146727
57,global_gen_57.pkl,413,60,353,110368.88905531168,0.885699987411499,0.9354999661445618,0.9106966515382131,0.911300003528595,0.015882575861527987,515302.0,4824480.0,796757.5333333333,518230.0,645301.7009153572,60,3,0.0,0.4107751609662832,0.026964074813898408,0.0,0.07423733850750924
58,global_gen_58.pkl,420,59,361,110368.88905531168,0.885699987411499,0.9354999661445618,0.9103389695539312,0.911300003528595,0.01581474581221337,515302.0,4824480.0,848322.6779661017,518230.0,831949.2057453748,59,3,0.0,0.4107751609662832,0.03426090898242353,0.0,0.08710635274229087
59,global_gen_59.pkl,425,58,367,110368.88905531168,0.885699987411499,0.9354999661445618,0.9104775724739864,0.911300003528595,0.015916679700390547,515302.0,4824480.0,854064.3793103448,518230.0,838035.2582382498,58,3,0.0,0.4107751609662832,0.034883834600285775,0.0,0.08911120007767485
60,global_gen_60.pkl,431,61,370,110368.88905531168,0.885699987411499,0.9354999661445618,0.910314739727583,0.911300003528595,0.015530805715360021,515302.0,4824480.0,837451.9672131147,518230.0,820129.5155925469,61,3,0.0,0.4107751609662832,0.033079498327857206,0.0,0.08700555625335536
