generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
17,global_gen_17.pkl,153,28,125,46591.95094975829,0.8822999596595764,0.9146999716758728,0.906832115990775,0.910099983215332,0.007815947787690089,518209.0,716446.0,539611.0,518230.0,62371.93131529599,28,4,0.0,0.5440028313277915,0.0684033190417313,0.011600634177735485,0.15173695658780623
18,global_gen_18.pkl,158,29,129,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9060620418910322,0.9093999862670898,0.008275504300785545,518209.0,716446.0,538873.724137931,518230.0,61376.5731534764,29,4,0.0,0.5440028313277915,0.07258077061508418,0.015431894360004562,0.1491155046290816
19,global_gen_19.pkl,165,31,134,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9057161019694421,0.9095999598503113,0.008633084667890761,518209.0,716446.0,537564.0322580645,518230.0,59511.80116609023,31,4,0.0,0.5440028313277915,0.06737587932232086,0.013888428976676932,0.14109923301879665
20,global_gen_20.pkl,172,30,142,46591.95094975829,0.8822999596595764,0.9146999716758728,0.905569972594579,0.9094999730587006,0.008741588070598981,518209.0,716446.0,538209.2,518230.0,60418.8055403625,30,4,0.0,0.5440028313277915,0.06996725929625629,0.014660161668340747,0.14323682863034234
21,global_gen_21.pkl,180,32,148,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9058062229305506,0.9094999730587006,0.008507987404291732,518209.0,716446.0,536959.1875,518230.0,58643.96259794793,32,4,0.0,0.5440028313277915,0.06496959791795227,0.013344227966887851,0.13883762428487287
22,global_gen_22.pkl,185,31,154,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9051161023878282,0.9093999862670898,0.00895846674184232,518209.0,716446.0,537565.8709677419,518230.0,59511.18410615041,31,4,0.0,0.5440028313277915,0.06737587932232086,0.015431894360004562,0.13937552875750245
23,global_gen_23.pkl,191,32,159,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9052718486636877,0.9094999730587006,0.00885672086366892,518209.0,716446.0,536960.96875,518230.0,58643.37557148588,32,4,0.0,0.5440028313277915,0.06496959791795226,0.014660161668340747,0.13736156293144988
24,global_gen_24.pkl,197,32,165,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9053687229752541,0.9094999730587006,0.00892790192244859,518209.0,716446.0,536961.625,518230.0,58643.1590750912,32,4,0.0,0.5440028313277915,0.06496959791795226,0.014660161668340747,0.13736156293144988
25,global_gen_25.pkl,204,33,171,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9049211848865856,0.9093999862670898,0.009269635731549992,518209.0,716446.0,536437.7272727273,518230.0,57797.99476910549,33,4,0.0,0.5440028313277915,0.0634742613024674,0.015431894360004562,0.13509102641025547
26,global_gen_26.pkl,210,34,176,46591.95094975829,0.8822999596595764,0.9146999716758728,0.9050735024844899,0.9094999730587006,0.009171212901954894,518209.0,716446.0,535901.5882352941,518230.0,57001.322617359874,34,4,0.0,0.5440028313277915,0.061358452592385156,0.014660161668340747,0.13324634615124978
