generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
25,global_gen_25.pkl,209,57,152,74904.81845068932,0.6969999670982361,0.9226999878883362,0.8609385772755271,0.887499988079071,0.060541996681469624,10942.0,541495.0,325015.1052631579,316534.0,204114.81760236286,57,3,0.0,0.20003335851460233,0.03651242388853733,0.010724037000931375,0.05700845001776785
26,global_gen_26.pkl,216,57,159,74904.81845068932,0.6900999546051025,0.9226999878883362,0.8569210328553852,0.8841999769210815,0.06410673799389838,10942.0,541495.0,316140.4736842105,313462.0,206608.70047698735,57,4,0.0,0.19969820043532807,0.03664734142745416,0.010838653326994567,0.056971401151176944
27,global_gen_27.pkl,222,59,163,74904.81845068932,0.6900999546051025,0.9226999878883362,0.8537559125383022,0.8836999535560608,0.06629510686247489,10942.0,541495.0,307556.3728813559,313462.0,208431.57587967845,59,4,0.0,0.19969820043532807,0.03534988748948878,0.010838653326994567,0.05590897998336939
28,global_gen_28.pkl,228,59,169,74904.81845068932,0.6969999670982361,0.9226999878883362,0.857101675817522,0.8841999769210815,0.06278141136190216,10942.0,541495.0,312735.69491525425,313462.0,204697.4554167143,59,3,0.0,0.20003335851460233,0.035242700811197694,0.011101627444487176,0.05596683091536697
29,global_gen_29.pkl,235,60,175,74904.81845068932,0.6969999670982361,0.9226999878883362,0.8561599800984064,0.8839499652385712,0.06262879116084329,10942.0,541495.0,309280.4,313462.0,204710.73491001053,60,3,0.0,0.20003335851460233,0.03462440781451002,0.01020570580200282,0.05532748086852309
30,global_gen_30.pkl,240,59,181,74904.81845068932,0.6969999670982361,0.9226999878883362,0.857694895590766,0.8841999769210815,0.06265249605027366,10942.0,541495.0,316079.6271186441,313462.0,203009.99812909658,59,3,0.0,0.20003335851460233,0.035242700811197694,0.01068647416150257,0.05599930153502864
31,global_gen_31.pkl,248,63,185,74993.10815858841,0.6541999578475952,0.9226999878883362,0.8505698215393793,0.8836999535560608,0.07031969335998318,10858.0,541495.0,301600.85714285716,313462.0,206927.58369238643,63,4,0.0,0.1982025007591541,0.03114856770879199,0.009039905672423331,0.052985878694916284
32,global_gen_32.pkl,258,63,195,74993.69675469398,0.6541999578475952,0.9226999878883362,0.8505301390375409,0.8836999535560608,0.070408402440844,10858.0,541495.0,301638.1904761905,313462.0,206874.50333957394,63,4,0.0,0.1982025007591541,0.03122440794413186,0.009039905672423331,0.05291440114727185
33,global_gen_33.pkl,264,63,201,74993.69675469398,0.6563999652862549,0.9226999878883362,0.8505650597905355,0.8836999535560608,0.07030993388877996,10858.0,541495.0,301636.85714285716,313462.0,206876.40739557185,63,3,0.0,0.19828096102851783,0.032020019505793314,0.00928457099551219,0.052797886419136957
34,global_gen_34.pkl,270,65,205,75288.34605944157,0.593999981880188,0.9226999878883362,0.8463507496393644,0.8747999668121338,0.0754726579401665,10282.0,541495.0,294234.4923076923,313462.0,208048.92343126916,65,4,0.0,0.19625850966584055,0.028010911577908953,0.007911287253660457,0.05034199148789213
35,global_gen_35.pkl,277,67,210,75288.34605944157,0.6787999868392944,0.9226999878883362,0.8482149047638053,0.8629999756813049,0.06861752828381491,10282.0,541495.0,288761.3432835821,312934.0,207270.72711900488,67,3,0.0,0.19895578667689606,0.030636722796034698,0.009485434643360768,0.051748484715614475
36,global_gen_36.pkl,282,70,212,75264.5740890503,0.6787999868392944,0.9226999878883362,0.8475799798965454,0.8622499704360962,0.06888278489268157,10282.0,541495.0,285951.65714285715,312526.0,207833.0188458427,70,3,0.0,0.19895578667689606,0.029264929238003296,0.010340574106853252,0.05149589736434866
37,global_gen_37.pkl,290,71,219,75264.5740890503,0.6787999868392944,0.9226999878883362,0.8459830787819875,0.8614999651908875,0.06959804115106646,10282.0,541495.0,283456.25352112675,312118.0,207411.7696950212,71,3,0.0,0.19895578667689606,0.02883456263156207,0.010511109124404526,0.04971354757332106
38,global_gen_38.pkl,298,69,229,75264.5740890503,0.6787999868392944,0.9226999878883362,0.847192733184151,0.8629999756813049,0.07023902963255994,10282.0,541495.0,288146.8695652174,312934.0,208655.77956521604,69,3,0.0,0.19895578667689606,0.02970833725676092,0.009998580052171958,0.052151191892368116
39,global_gen_39.pkl,304,68,236,75264.5740890503,0.6787999868392944,0.9226999878883362,0.8492161561461056,0.8688999712467194,0.06870543559142893,10282.0,541495.0,292113.4705882353,313198.0,207569.74607863347,68,3,0.0,0.19895578667689606,0.030165388599172626,0.009656585997490662,0.05134276854377192
40,global_gen_40.pkl,312,68,244,75264.5740890503,0.6787999868392944,0.9226999878883362,0.8492161561461056,0.8688999712467194,0.06870543559142893,10282.0,541495.0,292113.4705882353,313198.0,207569.74607863347,68,3,0.0,0.19895578667689606,0.030165388599172626,0.009656585997490662,0.05134276854377192
