generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,dominated_pareto_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
17,global_gen_17.pkl,152,50,102,54158.09929680824,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9059579813480377,0.9057499766349792,0.007510889025280875,455830.0,716776.0,516294.88,516776.0,43423.73158775872,50,4,0.0,0.2409411693008007,0.0324988713201274,0.01599345597361181,0.04941441446118537
18,global_gen_18.pkl,160,48,112,54158.09929680824,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9058749824762344,0.9057499766349792,0.007429394634933187,455830.0,716776.0,520937.4583333333,517222.0,50575.79667842911,48,4,0.0,0.2409411693008007,0.03496393209471852,0.016693853004395888,0.04992414553782319
19,global_gen_19.pkl,166,49,117,53992.73898816109,56137.358211159706,0.8853999972343445,0.9210999608039856,0.905828553803113,0.9056999683380127,0.007358778120329766,455830.0,716776.0,519825.71428571426,516886.0,50647.647125343676,49,4,0.0,0.2409411693008007,0.03424929311667637,0.015617944702281882,0.049554068105402346
20,global_gen_20.pkl,172,52,120,53992.73898816109,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9054595977067947,0.9056999683380127,0.007395206792300687,455830.0,716776.0,517970.67307692306,516776.0,50063.8155231317,52,4,0.0,0.2409411693008007,0.03343766997407461,0.01680702433942292,0.046989352243837004
21,global_gen_21.pkl,180,52,128,53994.87163454294,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9057442110318404,0.9056999683380127,0.007580840459837352,455830.0,716776.0,522258.8076923077,516831.0,55312.91112054182,52,4,0.0,0.2409411693008007,0.0335606127629316,0.017508798950150554,0.045778304824542315
22,global_gen_22.pkl,189,50,139,53994.87163454294,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9054199802875519,0.9056999683380127,0.007808183233958756,455830.0,716776.0,522301.68,517222.0,56675.68145389041,50,4,0.0,0.2409411693008007,0.0350197698395808,0.01680702433942292,0.047854907663760236
23,global_gen_23.pkl,195,53,142,53962.70665627718,56137.358211159706,0.8853999972343445,0.9210999608039856,0.905426395389269,0.9056999683380127,0.007940041867939727,455830.0,716776.0,520446.30188679247,516776.0,55828.02272245919,53,4,0.0,0.2409411693008007,0.03396186201963926,0.018210573560878185,0.04493599287756151
24,global_gen_24.pkl,202,53,149,53962.70665627718,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9059320553293768,0.9057999849319458,0.008053920560916188,455830.0,2078614.0,551487.5471698113,516886.0,220752.57361071138,53,4,0.0,0.4313286326901593,0.02898639076597374,0.015856472146300656,0.0620542017581809
25,global_gen_25.pkl,211,56,155,52893.64455741644,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9062571227550507,0.9057499766349792,0.007774917005560615,455830.0,2078614.0,547254.8928571428,516776.0,215434.3501722364,56,4,0.0,0.4313286326901593,0.02654168990026668,0.011904662523833535,0.06082206509638131
26,global_gen_26.pkl,219,56,163,49877.68576782942,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9059303381613323,0.9056999683380127,0.00751586728116215,455830.0,2078614.0,546166.5714285715,516776.0,215744.83991148238,56,4,0.0,0.4313286326901593,0.02654168990026668,0.010729824196286637,0.06079756228494604
27,global_gen_27.pkl,222,54,168,49877.68576782942,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9062092403570811,0.9057499766349792,0.00748870983197174,455830.0,2078614.0,553028.8148148148,517222.0,219065.8764964836,54,4,0.0,0.4313286326901593,0.02863071963501584,0.010729824196286637,0.06264699495075983
28,global_gen_28.pkl,229,56,173,49877.68576782942,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9066214093140194,0.9057999849319458,0.007688940589214106,455830.0,2078614.0,551778.6428571428,517222.0,215145.98646444938,56,4,0.0,0.4313286326901593,0.027529538110592153,0.010729824196286637,0.061254411496447884
